trial_number,value,lr,weight_decay,hidden_size,dropout,optimizer,gamma
12,0.5103637620239025,8.309427523439841e-05,0.0004340640109036,63,0.3925382915860212,adamw,0.9024507658276848
13,0.2745013511388094,7.246452259247535e-05,8.116993962533575e-06,79,0.2852629973323493,adamw,0.9426209483352735
14,0.1264085704163006,0.000124734444214,6.194081375670301e-06,96,0.2544510494361666,adamw,0.9613768047290432
15,0.1040551320715746,0.0001577600221385,6.305377659668891e-06,102,0.2902340748857261,adamw,0.9655704143028784
16,0.0628097950057792,0.0001858921710873,5.4113320606399215e-06,150,0.2191367819162806,adamw,0.9638853141222276
17,0.12065204924447,0.0009937218415346,1.381205194048193e-06,161,0.207346023066391,adamw,0.96458018144312
18,0.0647383399056283,0.0011105458862859,1.3811588957245362e-06,151,0.2077288868420518,adamw,0.964746198538924
19,0.1261655033183183,0.0001968007102445,2.873773555953828e-06,155,0.3293218785359613,adamw,0.9755668043594437
20,0.0212299143036398,0.0054489911650672,1.20946964114218e-06,138,0.2058256909761137,adamw,0.955512444830418
21,0.0197685301645775,0.0077766742856879,1.0004646884659854e-06,142,0.1116967771849288,adamw,0.9548740791375034
22,0.3025744394193293,0.0074926788657084,1.075774661708675e-06,183,0.0939092867506833,adamw,0.9555570008218184
23,0.0322628510297353,0.0056752381899244,2.293830126608606e-06,143,0.1987172124170332,adamw,0.9541302959096266
24,0.0171706973855551,0.0098746657329159,2.931119398900501e-06,136,0.2036188891541155,adamw,0.9531326909427188
25,0.0008586689574641,0.0097178032095691,2.647202698154921e-06,129,0.1270460380323758,adamw,0.952162349945357
26,0.0006375193274033,0.0039910225359165,1.7946983839893703e-05,128,0.1251076014463678,adamw,0.9475756925978236
27,0.0144285219175589,0.008844718253989,2.057238362170795e-05,116,0.1032028029934105,adamw,0.948196597312739
28,0.0084822298211674,0.0092068821342003,2.2811901719084647e-05,119,0.1190301326936372,adamw,0.9485308828985226
29,0.0101708314967607,0.0091667359312483,2.0817105312081007e-05,118,0.1096617070392778,adamw,0.942261033061151
30,0.021884605277095,0.0095728193300048,2.0124330347198756e-05,114,0.0525891336130964,adamw,0.946040951092112
31,0.0686537058841073,0.0040613697113232,2.145907013519177e-05,102,0.1292611668552638,adamw,0.9359864362086098
32,0.0084437047478298,0.0028527775387053,3.97333694476717e-05,119,0.0816324943779582,adamw,0.9487683038586616
33,0.0054094427553757,0.0030535642198217,4.105756542943574e-05,121,0.0776065841724758,adamw,0.9480053966442512
34,0.0150835377142471,0.0028160403450325,4.611074731826515e-05,116,0.0742054136986738,adamw,0.9463666356413946
35,0.0055587089844268,0.0046518601794928,1.4060412107396796e-05,121,0.0763811027071039,adamw,0.9399750642657048
36,0.0013866990224774,0.0043718773841992,3.888861709192507e-05,126,0.0711234952521716,adamw,0.9376614695243636
37,0.1249141555422839,0.0023583931632319,4.298790352209529e-05,94,0.0052234442754692,adamw,0.931989639633188
38,0.0021919981597683,0.0046756634236794,1.3845775531577827e-05,125,0.065666735043586,adamw,0.9393753335555246
39,0.0042189437139568,0.004294466353298,0.0001375431078856,127,0.0368827124828557,adamw,0.93840161314192
40,0.0090988486411313,0.0042556779880453,0.0001947744349794,129,0.005915879430197,adamw,0.9379012513111854
41,1.047472420729209,0.0018704084763813,0.0001272910365977,107,0.0443566928302343,adam,0.933680997538332
42,0.1860353961325557,0.0037261113810499,1.2524387393818353e-05,171,0.0744722620565256,adamw,0.9280484555586932
43,0.0028243386870946,0.0055413102457405,4.229493977180784e-05,124,0.0657683482084747,adamw,0.9427868043133336
44,1.0047125182230607,0.0054858918561216,4.624955302184928e-05,127,0.0325799668399256,sgd,0.941838175976463
45,0.0006318734609071,0.0030106751012543,7.367076430773035e-05,128,0.0758420918625895,adamw,0.943356976203442
46,0.0018446471319702,0.005175590645973,8.381611527386153e-05,129,0.0597752836496084,adamw,0.9387565447748492
47,0.0097505708104769,0.0055156586849306,8.289259323839826e-05,135,0.0337452982111341,adamw,0.928542008041821
48,0.0020583869911312,0.0043862101191869,0.0001914939355237,129,0.0573745469968849,adamw,0.9381262544493816
49,0.0019764612960767,0.0034345506859262,0.0002154626787048,130,0.060791193169095,adamw,0.9439502752185438
50,1.004615043164215,0.0062315368515909,0.0002032528930082,133,0.0545064407554637,adam,0.9433837707403374
